"Name","Hometown","Year","Sport"
"Jake Matheny","Weldon Springs, Mo.",2019,"baseball"
"Tony Ortiz","Olympia, Wash.",2019,"baseball"
"Kameron Misner","Poplar Bluff, Mo.",2019,"baseball"
"Ian Bedell","Davenport, Iowa",2019,"baseball"
"Cameron Dulle","St. Louis, Mo.",2019,"baseball"
"Lukas Veinbergs","Pinckney, Mich.",2019,"baseball"
"Peter Zimmermann","St. Louis, Mo.",2019,"baseball"
"Nick Lommen","Minnetonka, Minn.",2019,"baseball"
"Cameron  Pferrer","Carmel, Ind.",2019,"baseball"
"Spencer Juergens","Washington, Mo.",2019,"baseball"
"Zach Hanna","Shawnee, Kan.",2019,"baseball"
"Trey Dillard","Phoenix, Ariz.",2019,"baseball"
"Trae Robertson","Columbia, Mo.",2019,"baseball"
"Jordan Gubelman","Sarasota, Fla.",2019,"baseball"
"Josh Holt Jr.","Hampton, Ga.",2020,"baseball"
"Thomas Broyles","Fayetteville, Ark.",2020,"baseball"
"Tre Morris","Columbia, Mo.",2020,"baseball"
"Tommy Springer","Apple Valley, Minn.",2020,"baseball"
"Art Schoenstadt","Sammamish, Wa.",2020,"baseball"
"Jackson Lancaster","Corinth, Miss.",2020,"baseball"
"Seth Halvorsen","Plymouth, Minn.",2020,"baseball"
"Mark Vierling","St. Louis, Mo.",2020,"baseball"
"Clayton Peterson","Edmond, Okla.",2020,"baseball"
"Konnor Ash","Plainfield, Ill.",2020,"baseball"
"Blake Jackson","Coppell, Texas",2020,"baseball"
"Cameron Swanger","Loveland, Ohio",2020,"baseball"
"Alex Peterson","Edmond, Okla.",2020,"baseball"
"Luke  Mann","St. Louis, Mo.",2020,"baseball"
"Ben Pedersen","Duluth, Minn.",2020,"baseball"
"Art Joven","Bakersfield, Calif.",2020,"baseball"
"Chad McDaniel","Coral Springs, Fla.",2020,"baseball"
"Brandt Belk","Houston, Texas",2020,"baseball"
"Austin  James","Valrico, Fla.",2020,"baseball"
"Dalton McNamara","Lino Lakes, Minn.",2020,"baseball"
"Eric Rinzel","Chanhassen, Minn.",2020,"baseball"
"Bret Madren","Sandy Springs, Ga.",2020,"baseball"
"Andrew Vail","Woodstown, N.J.",2020,"baseball"
"Garrison Bennett","Green Oaks, Ill.",2020,"baseball"
"Shane Wilhelm","Columbia, Ill.",2020,"baseball"
"Ty Wilmsmeyer","Springfield, Mo.",2020,"baseball"
"Ian Bedell","Davenport, Iowa",2020,"baseball"
"Spencer Miles","Columbia, Mo.",2020,"baseball"
"Lukas Veinbergs","Pinckney, Mich.",2020,"baseball"
"Peter Zimmermann","St. Louis, Mo.",2020,"baseball"
"Cameron  Pferrer","Carmel, Ind.",2020,"baseball"
"Spencer Juergens","Washington, Mo.",2020,"baseball"
"Kyle Potthoff","Chesterfield, Mo.",2020,"baseball"
"Tom Skoro","Medicine Lake, Minn.",2020,"baseball"
"Zach McManus","Woodstock, Ga.",2020,"baseball"
"Trey Dillard","Phoenix, Ariz.",2020,"baseball"
"Trae Robertson","Columbia, Mo.",2020,"baseball"
"Steven Sanchez","Mundelein, Ill.",2020,"baseball"
"Brenner Maloney","Liberty, Mo.",2020,"baseball"
"Josh Holt Jr.","Hampton, Ga.",2021,"baseball"
"Mike Coletta","Flushing, N.Y.",2021,"baseball"
"Tre Morris","Columbia, Mo.",2021,"baseball"
"Tommy Springer","Apple Valley, Minn.",2021,"baseball"
